Hostname,Graphana Host String,,,CPU,MEMORY,LATENCY,RX/TX
494810GE.ac3-pa-w1-qcy__vl912_dcnet_intuit_net,collectd.network.QCY-A.ios.494810GE.ac3-pa-w1-qcy__vl912_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolUsed,6/20/16 14:20,150839904,,,,
494810GE.ac4-pa-e1-qcy__vl912_dcnet_intuit_net,collectd.network.QCY-A.ios.494810GE.ac4-pa-e1-qcy__vl912_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolUsed,6/20/16 14:20,150932188,,,,
ASR1001.gnvhe-qcy-2__gi0_corp_intuit_net,collectd.network.QCY-A.ios-xe.ASR1001.gnvhe-qcy-2__gi0_corp_intuit_net.snmp.cisco_ciscoMemoryPoolUsed,6/20/16 14:20,394621272,,,,
ASR1002.ifs-asr1-pa-qcy__gi0_prod_ifs_intuit_com,collectd.network.QCY-A.ios-xe.ASR1002.ifs-asr1-pa-qcy__gi0_prod_ifs_intuit_com.snmp.cisco_ciscoMemoryPoolUsed,6/20/16 14:20,347408860,,,,
ASR1002.ifs-asr2-pa-qcy__gi0_prod_ifs_intuit_com,collectd.network.QCY-A.ios-xe.ASR1002.ifs-asr2-pa-qcy__gi0_prod_ifs_intuit_com.snmp.cisco_ciscoMemoryPoolUsed,6/20/16 14:20,444488624,,,,
ASR1002.ipsec-rtr1-pa-qdc__gi0_dcnet_intuit_net,collectd.network.QCY-A.ios-xe.ASR1002.ipsec-rtr1-pa-qdc__gi0_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolUsed,6/20/16 14:20,425053028,,,,
ASR1002.ipsec-rtr2-pa-qdc__gi0_dcnet_intuit_net,collectd.network.QCY-A.ios-xe.ASR1002.ipsec-rtr2-pa-qdc__gi0_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolUsed,6/20/16 14:20,424811672,,,,
N5kC5020pBf.ac1-agg-w1-qcy__mgmt0_dcnet_intuit_net,collectd.network.QCY-A.nx-os.N5kC5020pBf.ac1-agg-w1-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseMemory,6/20/16 14:20,70,,,,
N5kC5020pBf.ac15-stor-w1-qcy__mgmt0_dcnet_intuit_net,collectd.network.QCY-A.nx-os.N5kC5020pBf.ac15-stor-w1-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseMemory,6/20/16 14:20,65,,,,
N5kC5020pBf.ac16-stor-w1-qcy__mgmt0_dcnet_intuit_net,collectd.network.QCY-A.nx-os.N5kC5020pBf.ac16-stor-w1-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseMemory,6/20/16 14:20,64,,,,
N5kC5020pBf.ac2-agg-w1-qcy__mgmt0_dcnet_intuit_net,collectd.network.QCY-A.nx-os.N5kC5020pBf.ac2-agg-w1-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseMemory,6/20/16 14:20,69,,,,
N5kC5596Up.ac3-agg-w1-qcy__mgmt0_dcnet_intuit_net,collectd.network.QCY-A.nx-os.N5kC5596Up.ac3-agg-w1-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseMemory,6/20/16 14:20,22,,,,
N5kC5596Up.ac4-agg-w1-qcy__mgmt0_dcnet_intuit_net,collectd.network.QCY-A.nx-os.N5kC5596Up.ac4-agg-w1-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseMemory,6/20/16 14:20,22,,,,
N7Kc7010.ac1-w1-qcy__mgmt0_dcnet_intuit_net,collectd.network.QCY-A.nx-os.N7Kc7010.ac1-w1-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseMemory,6/20/16 14:20,39,,,,
N7Kc7010.ac2-w1-qcy__mgmt0_dcnet_intuit_net,collectd.network.QCY-A.nx-os.N7Kc7010.ac2-w1-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseMemory,6/20/16 14:20,39,,,,
N7Kc7010.ac3-w1-qcy__mgmt0_dcnet_intuit_net,collectd.network.QCY-A.nx-os.N7Kc7010.ac3-w1-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseMemory,6/20/16 14:20,40,,,,
N7Kc7010.ac4-w1-qcy__mgmt0_dcnet_intuit_net,collectd.network.QCY-A.nx-os.N7Kc7010.ac4-w1-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseMemory,6/20/16 14:20,40,,,,
N7Kc7010.ac5-w1-qcy__mgmt0_dcnet_intuit_net,collectd.network.QCY-A.nx-os.N7Kc7010.ac5-w1-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseMemory,6/20/16 14:20,40,,,,
N7Kc7010.ac6-w1-qcy__mgmt0_dcnet_intuit_net,collectd.network.QCY-A.nx-os.N7Kc7010.ac6-w1-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseMemory,6/20/16 14:20,40,,,,
N7Kc7010.ac7-w1-qcy__mgmt0_dcnet_intuit_net,collectd.network.QCY-A.nx-os.N7Kc7010.ac7-w1-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseMemory,6/20/16 14:20,39,,,,
N7Kc7010.ac8-w1-qcy__mgmt0_dcnet_intuit_net,collectd.network.QCY-A.nx-os.N7Kc7010.ac8-w1-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseMemory,6/20/16 14:20,48,,,,
N7Kc7010.di1-m-w1-qcy__mgmt0_dcnet_intuit_net,collectd.network.QCY-A.nx-os.N7Kc7010.di1-m-w1-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseMemory,6/20/16 14:20,41,,,,
N7Kc7010.di1-n-w1-qcy__mgmt0_dcnet_intuit_net,collectd.network.QCY-A.nx-os.N7Kc7010.di1-n-w1-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseMemory,6/20/16 14:20,41,,,,
N7Kc7010.di1-p-w1-qcy__mgmt0_dcnet_intuit_net,collectd.network.QCY-A.nx-os.N7Kc7010.di1-p-w1-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseMemory,6/20/16 14:20,41,,,,
N7Kc7010.di1-s-w1-qcy__mgmt0_dcnet_intuit_net,collectd.network.QCY-A.nx-os.N7Kc7010.di1-s-w1-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseMemory,6/20/16 14:20,41,,,,
N7Kc7010.di2-m-w1-qcy__mgmt0_dcnet_intuit_net,collectd.network.QCY-A.nx-os.N7Kc7010.di2-m-w1-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseMemory,6/20/16 14:20,40,,,,
N7Kc7010.di2-n-w1-qcy__mgmt0_dcnet_intuit_net,collectd.network.QCY-A.nx-os.N7Kc7010.di2-n-w1-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseMemory,6/20/16 14:20,40,,,,
N7Kc7010.di2-p-w1-qcy__mgmt0_dcnet_intuit_net,collectd.network.QCY-A.nx-os.N7Kc7010.di2-p-w1-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseMemory,6/20/16 14:20,40,,,,
N7Kc7010.di2-s-w1-qcy__mgmt0_dcnet_intuit_net,collectd.network.QCY-A.nx-os.N7Kc7010.di2-s-w1-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseMemory,6/20/16 14:20,40,,,,
N7Kc7018.ac10-w1-qcy__mgmt0_dcnet_intuit_net,collectd.network.QCY-A.nx-os.N7Kc7018.ac10-w1-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseMemory,6/20/16 14:20,40,,,,
N7Kc7018.ac11-w1-qcy__mgmt0_dcnet_intuit_net,collectd.network.QCY-A.nx-os.N7Kc7018.ac11-w1-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseMemory,6/20/16 14:20,52,,,,
N7Kc7018.ac12-w1-qcy__mgmt0_dcnet_intuit_net,collectd.network.QCY-A.nx-os.N7Kc7018.ac12-w1-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseMemory,6/20/16 14:20,39,,,,
N7Kc7018.ac9-w1-qcy__mgmt0_dcnet_intuit_net,collectd.network.QCY-A.nx-os.N7Kc7018.ac9-w1-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseMemory,6/20/16 14:20,40,,,,
N7Kc7018.cr1-b-w1-qcy__mgmt0_dcnet_intuit_net,collectd.network.QCY-A.nx-os.N7Kc7018.cr1-b-w1-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseMemory,6/20/16 14:20,16,,,,
N7Kc7018.cr1-f-w1-qcy__mgmt0_dcnet_intuit_net,collectd.network.QCY-A.nx-os.N7Kc7018.cr1-f-w1-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseMemory,6/20/16 14:20,15,,,,
N7Kc7018.cr2-b-w1-qcy__mgmt0_dcnet_intuit_net,collectd.network.QCY-A.nx-os.N7Kc7018.cr2-b-w1-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseMemory,6/20/16 14:20,15,,,,
N7Kc7018.cr2-f-w1-qcy__mgmt0_dcnet_intuit_net,collectd.network.QCY-A.nx-os.N7Kc7018.cr2-f-w1-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseMemory,6/20/16 14:20,15,,,,
m9513.qyfcsw01a_bos_intuit_net,collectd.network.QCY-A.nx-os.m9513.qyfcsw01a_bos_intuit_net.snmp.cisco_cseMemory,6/20/16 14:20,75,,,,
m9513.qyfcsw01b_bos_intuit_net,collectd.network.QCY-A.nx-os.m9513.qyfcsw01b_bos_intuit_net.snmp.cisco_cseMemory,6/20/16 14:20,76,,,,
S370.qypprdproxywa01_ie_intuit_net,collectd.network.QCY-A.ironport.S370.qypprdproxywa01_ie_intuit_net.snmp.ironport_perCentMemoryUtilization,6/20/16 14:20,73,,,,
S370.qypprdproxywa02_ie_intuit_net,collectd.network.QCY-A.ironport.S370.qypprdproxywa02_ie_intuit_net.snmp.ironport_perCentMemoryUtilization,6/20/16 14:20,63,,,,
3845.ac6-oob3845-w2-qcy__gi3-0_dcnet_intuit_net,collectd.network.QCY-B.ios.3845.ac6-oob3845-w2-qcy__gi3-0_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolFree,6/20/16 14:20,,,,,
494810GE.ac1-w2-qcy__vl671_dcnet_intuit_net,collectd.network.QCY-B.ios.494810GE.ac1-w2-qcy__vl671_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolFree,6/20/16 14:20,63777764,,,,
494810GE.ac10-w2-qcy__vl671_dcnet_intuit_net,collectd.network.QCY-B.ios.494810GE.ac10-w2-qcy__vl671_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolFree,6/20/16 14:20,62928412,,,,
494810GE.ac11-w2-qcy__vl671_dcnet_intuit_net,collectd.network.QCY-B.ios.494810GE.ac11-w2-qcy__vl671_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolFree,6/20/16 14:20,63870804,,,,
494810GE.ac12-w2-qcy__vl671_dcnet_intuit_net,collectd.network.QCY-B.ios.494810GE.ac12-w2-qcy__vl671_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolFree,6/20/16 14:20,62736240,,,,
494810GE.ac13-w2-qcy__vl671_dcnet_intuit_net,collectd.network.QCY-B.ios.494810GE.ac13-w2-qcy__vl671_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolFree,6/20/16 14:20,62558200,,,,
494810GE.ac14-w2-qcy__vl671_dcnet_intuit_net,collectd.network.QCY-B.ios.494810GE.ac14-w2-qcy__vl671_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolFree,6/20/16 14:20,62672468,,,,
494810GE.ac15-w2-qcy__vl671_dcnet_intuit_net,collectd.network.QCY-B.ios.494810GE.ac15-w2-qcy__vl671_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolFree,6/20/16 14:20,62717564,,,,
494810GE.ac16-w2-qcy__vl671_dcnet_intuit_net,collectd.network.QCY-B.ios.494810GE.ac16-w2-qcy__vl671_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolFree,6/20/16 14:20,65049168,,,,
494810GE.ac17-w2-qcy__vl671_dcnet_intuit_net,collectd.network.QCY-B.ios.494810GE.ac17-w2-qcy__vl671_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolFree,6/20/16 14:20,63050508,,,,
494810GE.ac18-w2-qcy__vl671_dcnet_intuit_net,collectd.network.QCY-B.ios.494810GE.ac18-w2-qcy__vl671_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolFree,6/20/16 14:20,62797200,,,,
494810GE.ac19-w2-qcy__vl671_dcnet_intuit_net,collectd.network.QCY-B.ios.494810GE.ac19-w2-qcy__vl671_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolFree,6/20/16 14:20,62973540,,,,
494810GE.ac2-w2-qcy__vl671_dcnet_intuit_net,collectd.network.QCY-B.ios.494810GE.ac2-w2-qcy__vl671_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolFree,6/20/16 14:20,62585180,,,,
494810GE.ac20-w2-qcy__vl671_dcnet_intuit_net,collectd.network.QCY-B.ios.494810GE.ac20-w2-qcy__vl671_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolFree,6/20/16 14:20,62838896,,,,
494810GE.ac21-w2-qcy__vl671_dcnet_intuit_net,collectd.network.QCY-B.ios.494810GE.ac21-w2-qcy__vl671_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolFree,6/20/16 14:20,65157012,,,,
494810GE.ac22-w2-qcy__vl671_dcnet_intuit_net,collectd.network.QCY-B.ios.494810GE.ac22-w2-qcy__vl671_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolFree,6/20/16 14:20,63165364,,,,
494810GE.ac23-w2-qcy__vl671_dcnet_intuit_net,collectd.network.QCY-B.ios.494810GE.ac23-w2-qcy__vl671_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolFree,6/20/16 14:20,63013152,,,,
494810GE.ac24-w2-qcy_v_l671_dcnet_intuit_net,collectd.network.QCY-B.ios.494810GE.ac24-w2-qcy_v_l671_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolFree,6/20/16 14:20,62878856,,,,
494810GE.ac25-w2-qcy__vl671_dcnet_intuit_net,collectd.network.QCY-B.ios.494810GE.ac25-w2-qcy__vl671_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolFree,6/20/16 14:20,63027804,,,,
494810GE.ac26-w2-qcy__vl671_dcnet_intuit_net,collectd.network.QCY-B.ios.494810GE.ac26-w2-qcy__vl671_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolFree,6/20/16 14:20,64958524,,,,
494810GE.ac27-w2-qcy__vl671_dcnet_intuit_net,collectd.network.QCY-B.ios.494810GE.ac27-w2-qcy__vl671_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolFree,6/20/16 14:20,62909316,,,,
494810GE.ac28-w2-qcy__vl671_dcnet_intuit_net,collectd.network.QCY-B.ios.494810GE.ac28-w2-qcy__vl671_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolFree,6/20/16 14:20,63003908,,,,
494810GE.ac29-w2-qcy__vl671_dcnet_intuit_net,collectd.network.QCY-B.ios.494810GE.ac29-w2-qcy__vl671_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolFree,6/20/16 14:20,62986664,,,,
494810GE.ac3-w2-qcy__vl671_dcnet_intuit_net,collectd.network.QCY-B.ios.494810GE.ac3-w2-qcy__vl671_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolFree,6/20/16 14:20,62629188,,,,
494810GE.ac30-w2-qcy__vl671_dcnet_intuit_net,collectd.network.QCY-B.ios.494810GE.ac30-w2-qcy__vl671_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolFree,6/20/16 14:20,63254728,,,,
494810GE.ac4-w2-qcy__vl671_dcnet_intuit_net,collectd.network.QCY-B.ios.494810GE.ac4-w2-qcy__vl671_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolFree,6/20/16 14:20,62513136,,,,
494810GE.ac5-w2-qcy__vl671_dcnet_intuit_net,collectd.network.QCY-B.ios.494810GE.ac5-w2-qcy__vl671_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolFree,6/20/16 14:20,62787564,,,,
494810GE.ac6-w2-qcy__vl671_dcnet_intuit_net,collectd.network.QCY-B.ios.494810GE.ac6-w2-qcy__vl671_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolFree,6/20/16 14:20,63835500,,,,
494810GE.ac7-w2-qcy__vl671_dcnet_intuit_net,collectd.network.QCY-B.ios.494810GE.ac7-w2-qcy__vl671_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolFree,6/20/16 14:20,62888680,,,,
494810GE.ac75-agg-w2-qcy__vl671_dcnet_intuit_net,collectd.network.QCY-B.ios.494810GE.ac75-agg-w2-qcy__vl671_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolFree,6/20/16 14:20,80535628,,,,
494810GE.ac76-agg-w2-qcy__vl671_dcnet_intuit_net,collectd.network.QCY-B.ios.494810GE.ac76-agg-w2-qcy__vl671_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolFree,6/20/16 14:20,80572568,,,,
494810GE.ac8-w2-qcy__vl671_dcnet_intuit_net,collectd.network.QCY-B.ios.494810GE.ac8-w2-qcy__vl671_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolFree,6/20/16 14:20,62876756,,,,
494810GE.ac9-w2-qcy__vl671_dcnet_intuit_net,collectd.network.QCY-B.ios.494810GE.ac9-w2-qcy__vl671_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolFree,6/20/16 14:20,62647524,,,,
NmeX24Es1GeNoPwr.ac6-ib3750-w2-qcy__vl671_dcnet_intuit_net,collectd.network.QCY-B.ios.NmeX24Es1GeNoPwr.ac6-ib3750-w2-qcy__vl671_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolFree,6/20/16 14:20,365408044,,,,
3845.ac6-oob3845-w2-qcy__gi3-0_dcnet_intuit_net,collectd.network.QCY-B.ios.3845.ac6-oob3845-w2-qcy__gi3-0_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolUsed,6/20/16 14:20,,,,,
494810GE.ac1-w2-qcy__vl671_dcnet_intuit_net,collectd.network.QCY-B.ios.494810GE.ac1-w2-qcy__vl671_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolUsed,6/20/16 14:20,152656684,,,,
494810GE.ac10-w2-qcy__vl671_dcnet_intuit_net,collectd.network.QCY-B.ios.494810GE.ac10-w2-qcy__vl671_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolUsed,6/20/16 14:20,153506044,,,,
494810GE.ac11-w2-qcy__vl671_dcnet_intuit_net,collectd.network.QCY-B.ios.494810GE.ac11-w2-qcy__vl671_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolUsed,6/20/16 14:20,152563676,,,,
494810GE.ac12-w2-qcy__vl671_dcnet_intuit_net,collectd.network.QCY-B.ios.494810GE.ac12-w2-qcy__vl671_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolUsed,6/20/16 14:20,153698216,,,,
494810GE.ac13-w2-qcy__vl671_dcnet_intuit_net,collectd.network.QCY-B.ios.494810GE.ac13-w2-qcy__vl671_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolUsed,6/20/16 14:20,153876244,,,,
494810GE.ac14-w2-qcy__vl671_dcnet_intuit_net,collectd.network.QCY-B.ios.494810GE.ac14-w2-qcy__vl671_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolUsed,6/20/16 14:20,153761984,,,,
494810GE.ac15-w2-qcy__vl671_dcnet_intuit_net,collectd.network.QCY-B.ios.494810GE.ac15-w2-qcy__vl671_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolUsed,6/20/16 14:20,153716896,,,,
494810GE.ac16-w2-qcy__vl671_dcnet_intuit_net,collectd.network.QCY-B.ios.494810GE.ac16-w2-qcy__vl671_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolUsed,6/20/16 14:20,151385304,,,,
494810GE.ac17-w2-qcy__vl671_dcnet_intuit_net,collectd.network.QCY-B.ios.494810GE.ac17-w2-qcy__vl671_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolUsed,6/20/16 14:20,153383952,,,,
494810GE.ac18-w2-qcy__vl671_dcnet_intuit_net,collectd.network.QCY-B.ios.494810GE.ac18-w2-qcy__vl671_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolUsed,6/20/16 14:20,153637256,,,,
494810GE.ac19-w2-qcy__vl671_dcnet_intuit_net,collectd.network.QCY-B.ios.494810GE.ac19-w2-qcy__vl671_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolUsed,6/20/16 14:20,153460916,,,,
494810GE.ac2-w2-qcy__vl671_dcnet_intuit_net,collectd.network.QCY-B.ios.494810GE.ac2-w2-qcy__vl671_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolUsed,6/20/16 14:20,153849276,,,,
494810GE.ac20-w2-qcy__vl671_dcnet_intuit_net,collectd.network.QCY-B.ios.494810GE.ac20-w2-qcy__vl671_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolUsed,6/20/16 14:20,153595560,,,,
494810GE.ac21-w2-qcy__vl671_dcnet_intuit_net,collectd.network.QCY-B.ios.494810GE.ac21-w2-qcy__vl671_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolUsed,6/20/16 14:20,151277436,,,,
494810GE.ac22-w2-qcy__vl671_dcnet_intuit_net,collectd.network.QCY-B.ios.494810GE.ac22-w2-qcy__vl671_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolUsed,6/20/16 14:20,153269080,,,,
494810GE.ac23-w2-qcy__vl671_dcnet_intuit_net,collectd.network.QCY-B.ios.494810GE.ac23-w2-qcy__vl671_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolUsed,6/20/16 14:20,153421304,,,,
494810GE.ac24-w2-qcy_v_l671_dcnet_intuit_net,collectd.network.QCY-B.ios.494810GE.ac24-w2-qcy_v_l671_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolUsed,6/20/16 14:20,153555600,,,,
494810GE.ac25-w2-qcy__vl671_dcnet_intuit_net,collectd.network.QCY-B.ios.494810GE.ac25-w2-qcy__vl671_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolUsed,6/20/16 14:20,153406652,,,,
494810GE.ac26-w2-qcy__vl671_dcnet_intuit_net,collectd.network.QCY-B.ios.494810GE.ac26-w2-qcy__vl671_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolUsed,6/20/16 14:20,151475932,,,,
494810GE.ac27-w2-qcy__vl671_dcnet_intuit_net,collectd.network.QCY-B.ios.494810GE.ac27-w2-qcy__vl671_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolUsed,6/20/16 14:20,153525140,,,,
494810GE.ac28-w2-qcy__vl671_dcnet_intuit_net,collectd.network.QCY-B.ios.494810GE.ac28-w2-qcy__vl671_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolUsed,6/20/16 14:20,153430548,,,,
494810GE.ac29-w2-qcy__vl671_dcnet_intuit_net,collectd.network.QCY-B.ios.494810GE.ac29-w2-qcy__vl671_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolUsed,6/20/16 14:20,153447792,,,,
494810GE.ac3-w2-qcy__vl671_dcnet_intuit_net,collectd.network.QCY-B.ios.494810GE.ac3-w2-qcy__vl671_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolUsed,6/20/16 14:20,153805268,,,,
494810GE.ac30-w2-qcy__vl671_dcnet_intuit_net,collectd.network.QCY-B.ios.494810GE.ac30-w2-qcy__vl671_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolUsed,6/20/16 14:20,153179728,,,,
494810GE.ac4-w2-qcy__vl671_dcnet_intuit_net,collectd.network.QCY-B.ios.494810GE.ac4-w2-qcy__vl671_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolUsed,6/20/16 14:20,153921320,,,,
494810GE.ac5-w2-qcy__vl671_dcnet_intuit_net,collectd.network.QCY-B.ios.494810GE.ac5-w2-qcy__vl671_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolUsed,6/20/16 14:20,153646892,,,,
494810GE.ac6-w2-qcy__vl671_dcnet_intuit_net,collectd.network.QCY-B.ios.494810GE.ac6-w2-qcy__vl671_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolUsed,6/20/16 14:20,152598948,,,,
494810GE.ac7-w2-qcy__vl671_dcnet_intuit_net,collectd.network.QCY-B.ios.494810GE.ac7-w2-qcy__vl671_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolUsed,6/20/16 14:20,153545776,,,,
494810GE.ac75-agg-w2-qcy__vl671_dcnet_intuit_net,collectd.network.QCY-B.ios.494810GE.ac75-agg-w2-qcy__vl671_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolUsed,6/20/16 14:20,129256984,,,,
494810GE.ac76-agg-w2-qcy__vl671_dcnet_intuit_net,collectd.network.QCY-B.ios.494810GE.ac76-agg-w2-qcy__vl671_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolUsed,6/20/16 14:20,129220044,,,,
494810GE.ac8-w2-qcy__vl671_dcnet_intuit_net,collectd.network.QCY-B.ios.494810GE.ac8-w2-qcy__vl671_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolUsed,6/20/16 14:20,153557700,,,,
494810GE.ac9-w2-qcy__vl671_dcnet_intuit_net,collectd.network.QCY-B.ios.494810GE.ac9-w2-qcy__vl671_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolUsed,6/20/16 14:20,153786916,,,,
NmeX24Es1GeNoPwr.ac6-ib3750-w2-qcy__vl671_dcnet_intuit_net,collectd.network.QCY-B.ios.NmeX24Es1GeNoPwr.ac6-ib3750-w2-qcy__vl671_dcnet_intuit_net.snmp.cisco_ciscoMemoryPoolUsed,6/20/16 14:20,171462868,,,,
N5kC5020pBf.ac1-agg-w2-qcy__mgmt0_dcnet_intuit_net,collectd.network.QCY-B.nx-os.N5kC5020pBf.ac1-agg-w2-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseMemory,6/20/16 14:20,65,,,,
N5kC5020pBf.ac11-ct-w2-qcy__mgmt0_dcnet_intuit_net,collectd.network.QCY-B.nx-os.N5kC5020pBf.ac11-ct-w2-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseMemory,6/20/16 14:20,66,,,,
N5kC5020pBf.ac2-agg-w2-qcy__mgmt0_dcnet_intuit_net,collectd.network.QCY-B.nx-os.N5kC5020pBf.ac2-agg-w2-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseMemory,6/20/16 14:20,64,,,,
N5kC5020pBf.ac3-agg-w2-qcy__mgmt0_dcnet_intuit_net,collectd.network.QCY-B.nx-os.N5kC5020pBf.ac3-agg-w2-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseMemory,6/20/16 14:20,67,,,,
N5kC5020pBf.ac4-agg-w2-qcy__mgmt0_dcnet_intuit_net,collectd.network.QCY-B.nx-os.N5kC5020pBf.ac4-agg-w2-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseMemory,6/20/16 14:20,67,,,,
N5kC5020pBf.ac5-agg-w2-qcy__mgmt0_dcnet_intuit_net,collectd.network.QCY-B.nx-os.N5kC5020pBf.ac5-agg-w2-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseMemory,6/20/16 14:20,67,,,,
N5kC5020pBf.ac6-agg-w2-qcy__mgmt0_dcnet_intuit_net,collectd.network.QCY-B.nx-os.N5kC5020pBf.ac6-agg-w2-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseMemory,6/20/16 14:20,67,,,,
