Hostname,Graphana Host String,,,CPU,MEMORY,LATENCY,RX/TX
N5kC5020pBf.ac23-compute-c-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-C.nx-os.N5kC5020pBf.ac23-compute-c-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,0,,,,
N5kC5020pBf.ac24-compute-c-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-C.nx-os.N5kC5020pBf.ac24-compute-c-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,8,,,,
N5kC5020pBf.ac3-storage-c-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-C.nx-os.N5kC5020pBf.ac3-storage-c-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,8,,,,
N5kC5020pBf.ac4-storage-c-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-C.nx-os.N5kC5020pBf.ac4-storage-c-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,12,,,,
N5kC5020pBf.ac5-storage-c-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-C.nx-os.N5kC5020pBf.ac5-storage-c-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,12,,,,
N5kC5020pBf.ac6-storage-c-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-C.nx-os.N5kC5020pBf.ac6-storage-c-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,12,,,,
N5kC5020pBf.ac7-storage-c-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-C.nx-os.N5kC5020pBf.ac7-storage-c-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,8,,,,
N5kC5020pBf.ac8-storage-c-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-C.nx-os.N5kC5020pBf.ac8-storage-c-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,4,,,,
N5kC5020pBf.ac9-compute-c-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-C.nx-os.N5kC5020pBf.ac9-compute-c-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,0,,,,
N5kC5020pBf.ac9-storage-c-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-C.nx-os.N5kC5020pBf.ac9-storage-c-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,,,,,
N5kC5548p.ac11-storage-c-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-C.nx-os.N5kC5548p.ac11-storage-c-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,2,,,,
N5kC5548p.ac12-storage-c-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-C.nx-os.N5kC5548p.ac12-storage-c-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,,,,,
N5kC5548p.ac15-compute-c-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-C.nx-os.N5kC5548p.ac15-compute-c-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,2,,,,
N5kC5548p.ac16-compute-c-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-C.nx-os.N5kC5548p.ac16-compute-c-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,6,,,,
N5kC5596Up.ac1-compute-c-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-C.nx-os.N5kC5596Up.ac1-compute-c-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,2,,,,
N5kC5596Up.ac13-storage-c-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-C.nx-os.N5kC5596Up.ac13-storage-c-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,0,,,,
N5kC5596Up.ac14-storage-c-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-C.nx-os.N5kC5596Up.ac14-storage-c-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,,,,,
N5kC5596Up.ac15-storage-c-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-C.nx-os.N5kC5596Up.ac15-storage-c-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,0,,,,
N5kC5596Up.ac16-storage-c-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-C.nx-os.N5kC5596Up.ac16-storage-c-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,4,,,,
N5kC5596Up.ac17-storage-c-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-C.nx-os.N5kC5596Up.ac17-storage-c-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,0,,,,
N5kC5596Up.ac18-storage-c-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-C.nx-os.N5kC5596Up.ac18-storage-c-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,13,,,,
N5kC5596Up.ac19-compute-c-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-C.nx-os.N5kC5596Up.ac19-compute-c-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,10,,,,
N5kC5596Up.ac2-compute-c-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-C.nx-os.N5kC5596Up.ac2-compute-c-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,0,,,,
N5kC5596Up.ac20-compute-c-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-C.nx-os.N5kC5596Up.ac20-compute-c-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,0,,,,
N5kC5596Up.ac21-compute-c-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-C.nx-os.N5kC5596Up.ac21-compute-c-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,2,,,,
N5kC5596Up.ac22-compute-c-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-C.nx-os.N5kC5596Up.ac22-compute-c-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,2,,,,
N5kC5596Up.ac25-compute-c-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-C.nx-os.N5kC5596Up.ac25-compute-c-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,,,,,
N5kC5596Up.ac26-compute-c-qcy__mgmt0_dcnet_intuit_net ,collectd.network.QCY-C.nx-os.N5kC5596Up.ac26-compute-c-qcy__mgmt0_dcnet_intuit_net.snmp.cisco_cseCPU,6/20/16 14:20,2,,,,
